ID,Start Date,End Date,Gender,PSSQ1,PSSQ2,PSSQ3,PSSQ4,PSSQ5,PSSQ6,PSSQ7,PSSQ8,PSSQ9,PSSQ10,PandemicQ1,PandemicQ2,PandemicQ3,answerQ1,AnswerQ2,aware_different_feelings_I_felt,not_aware_those_feelings,aware_my_thoughts,experiencing_present_fully,felt_aware_alert,noticed_small_details_in_experience,able_logically_think_through_strong_negative_emotions,know_strongest_qualitites,know_what_brings_me_joy,can_think_strategies_use_stay_calm_stressful_situations,can_think_environments_where_would_be_in_positive_mindset,I am confused about why the friend has this emotion,The emotion of the friend was caused by his or her own behavior,The emotion of the friend was caused by your actions,The emotion of the friend was caused by circumstances out of anyone’s control,I would take action to further understand or resolve the friend’s emotion,I thought more about the situation from how it could affect my relationship with the friend as opposed to the emotion of the friend,I am very confused why the friend has this emotion (1),The emotion of the friend was caused by his or her own behavior (1),The emotion of the friend was caused by your actions (1),The emotion of the friend was caused by circumstances out of anyone’s control (1),I would take action to further understand or resolve the friend’s emotion (1),I thought more about the situation from how it could affect my relationship with the friend as opposed to the emotion of the friend (1),I feel like I have a strong understanding of that person’s emotions,I know what that person is thinking,"I feel strong emotions for that person  (feel bad for them, happy for them, etc)",I wish I could help the person in this situation,I feel like I have a strong understanding of that person’s emotions (1),I know what that person is thinking (1),"I feel strong emotions for that person  (feel bad for them, happy for them, etc) (1)",I wish I could help the person in this situation (1),I feel like I have a strong understanding of that person’s emotions (2),I know what that person is thinking (2),"I feel strong emotions for that person (feel bad for them, happy for them, etc) (2)",I feel like I have a strong understanding of that person’s emotions (3),I know what that person is thinking (3),"I feel strong emotions for that person (feel bad for them, happy for them, etc) (3)",I would like the friend to pay more attention to what I’m saying,I am annoyed with the friend,"I considered that the friend might have an external reason to check the time (running late, etc)",I should pay more attention to what the friend is saying,I am annoyed with myself,"I considered that I might have an external reason to check the time (running late, etc)",I am justified in asking the person to pay for the meal,I am annoyed with the person,I considered the emotional effect the situation would have on me,I considered the emotional effect the situation might have had on the other person,The person is justified in asking me to pay for the meal,I am annoyed with myself,I considered the emotional effect the situation would have on me,I considered the emotional effect the situation might have had on the other person
118109958278,08/23/2022 01:27:33 PM,08/23/2022 01:46:02 PM,Male,very often,sometimes,fairly often,almost never,almost never,sometimes,fairly often,sometimes,fairly often,sometimes,Somewhat disagree,Strongly agree,Strongly disagree,Sunday,what can I find a pair of angel wings,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Neither agree or disagree,Agree,Disagree,Agree,Disagree,Somewhat agree,Neither agree or disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Somewhat agree,Disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neither agree or disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree
118109962806,08/23/2022 01:31:50 PM,08/23/2022 01:45:13 PM,Male,never,never,never,never,never,never,very often,very often,very often,very often,Disagree,Strongly disagree,Strongly disagree,,,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Somewhat disagree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Agree	Disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree
118109955079,08/23/2022 01:24:03 PM,08/23/2022 01:43:48 PM,Male,almost never,sometimes,sometimes,sometimes,almost never,almost never,fairly often,sometimes,sometimes,fairly often,Somewhat agree,Somewhat agree,Neither agree or disagree,,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Neither agree or disagree,Somewhat agree,Disagree,Disagree,Agree,Disagree,Neither agree or disagree,Somewhat agree,Agree,Somewhat agree,Neither agree or disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree or disagree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree
118109960194,08/23/2022 01:29:33 PM,08/23/2022 01:43:40 PM,Male,fairly often,fairly often,very often,sometimes,sometimes,fairly often,almost never,almost never,almost never,never,Strongly agree,Neither agree or disagree,Neither agree or disagree,Wednesday,Which road goes to you city?,Neither agree or disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Agree,Somewhat disagree,Strongly disagree,Agree,Neither agree or disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Neither agree or disagree,Strongly agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree or disagree,Strongly agree,Agree,Neither agree or disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree
118109961791,08/23/2022 01:31:03 PM,08/23/2022 01:42:43 PM,Male,sometimes,sometimes,sometimes,almost never,sometimes,fairly often,fairly often,fairly often,fairly often,fairly often,Somewhat agree,Strongly agree,Disagree,Sunday,How do I get to the City of Truth?,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neither agree or disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree or disagree,Somewhat agree,Strongly agree,Agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree or disagree,Agree,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree
118109961727,08/23/2022 01:31:15 PM,08/23/2022 01:41:54 PM,Male,sometimes,never,sometimes,never,sometimes,never,fairly often,fairly often,fairly often,fairly often,Somewhat agree,Somewhat agree,Somewhat agree,Thursday,We ask the guy on the left what the guy on the right would say. And then do the opposite.,Somewhat agree,Neither agree or disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree
118109962406,08/23/2022 01:31:58 PM,08/23/2022 01:40:02 PM,Male,fairly often,sometimes,fairly often,sometimes,sometimes,sometimes,sometimes,fairly often,fairly often,sometimes,Somewhat agree,Somewhat agree,Neither agree or disagree,Thursday,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
118109953318,08/23/2022 01:22:01 PM,08/23/2022 01:40:01 PM,Male,fairly often,sometimes,sometimes,sometimes,sometimes,almost never,fairly often,fairly often,sometimes,sometimes,Somewhat agree,Somewhat disagree,Disagree,thursday,,Strongly agree,Somewhat disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Agree,Somewhat disagree,Disagree,Somewhat disagree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Strongly agree
118109958055,08/23/2022 01:26:57 PM,08/23/2022 01:38:47 PM,Male,very often,very often,very often,sometimes,very often,very often,almost never,never,sometimes,,Somewhat agree,Somewhat agree,Somewhat agree,Friday,Will you lie about this path?,Neither agree or disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Strongly agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Agree
118109942615,08/23/2022 01:10:51 PM,08/23/2022 01:38:27 PM,Female,almost never,never,almost never,never,almost never,never,fairly often,fairly often,sometimes,fairly often,Disagree,Somewhat disagree,Somewhat agree,Thursdays,which road leads to the city of truth?,Agree,Disagree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree or disagree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Disagree,Somewhat agree,Agree,Somewhat disagree,Neither agree or disagree,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
